initial word,basic form,past simple,future simple,translation,additional meaning,etymology
άσχετους,άσχετος,,,unrelated,"irrelevant, beside the point",α- (without) + σχέση (relation)
ικανοποιήσει,ικανοποιώ,ικανοποίησα,θα ικανοποιήσω,to satisfy,"to please, to fulfill",ικανός (sufficient) + ποιώ (to make)
ανακαλύπτετε,ανακαλύπτω,ανακάλυψα,θα ανακαλύψω,to discover,"to uncover, to reveal",ανά (again) + καλύπτω (to cover)
ποικιλία,η ποικιλία,,,variety,assortment,Ancient Greek ποικίλος (varied/diverse)
φαίνονται,φαίνομαι,φάνηκα,θα φανώ,to seem,"to appear, to look",φαίνω (to show) → φώς (light)
κενά,το κενό,,,blank,"gap, empty space",Ancient Greek κενός (empty)
βάση,η βάση,,,base,"foundation, basis",Ancient Greek βαίνω (to go/step)
σημειώστε,σημειώνω,σημείωσα,θα σημειώσω,to note,"to mark, to record",σημείο (sign/mark)
ξηρά,ξηρός,,,dry,"arid, parched",Ancient Greek ξηρός (dry/arid)
λαμπερά,λαμπερός,,,shiny,"bright, gleaming",λάμπω (to shine)
απαλά,απαλός,,,soft,"gentle, smooth",Ancient Greek ἁπαλός (soft/tender)
σπυράκια,το σπυράκι,,,pimple,spot,σπόρος (seed) → small seed-like bump
ξεπλύνετε,ξεπλένω,ξέπλυνα,θα ξεπλύνω,to rinse,to wash off,ξε- (off/un-) + πλένω (to wash)
χλιαρό,χλιαρός,,,lukewarm,tepid,Ancient Greek χλιαρός (lukewarm)
καθυστερημένα,καθυστερημένος,,,delayed,"late, slow",κατά (behind) + ύστερος (later/last)
ξυρίσματος,το ξύρισμα,,,shaving,,Ancient Greek ξυρόν (razor)
ξυρίζεστε,ξυρίζομαι,ξυρίστηκα,θα ξυριστώ,to shave (oneself),,Ancient Greek ξυρόν (razor) + -ίζω (verb suffix)
γένια,το γένι,,,beard,"chin, jaw",Ancient Greek γένειον (chin/beard)
βρόμικα,βρόμικος,,,dirty,"filthy, grimy",βρόμος (stench/filth)
ανησυχείτε,ανησυχώ,ανησύχησα,θα ανησυχήσω,to worry,"to be anxious, to be troubled",αν- (without) + ησυχία (peace/quiet)
ανακατέψτε,ανακατεύω,ανακάτεψα,θα ανακατέψω,to mix,"to stir, to blend",ανά (up) + κάτω (down) → to mix up and down
διατηρήσετε,διατηρώ,διατήρησα,θα διατηρήσω,to preserve,"to maintain, to keep",διά (thoroughly) + τηρώ (to keep/guard)
ξύλινα,ξύλινος,,,wooden,,Ancient Greek ξύλον (wood)
έπιπλά,το έπιπλο,,,piece of furniture,furniture,ἐπί (upon) + πλέω (to float/sail) → movable goods
γυαλίστε,γυαλίζω,γυάλισα,θα γυαλίσω,to polish,"to shine, to buff",γυαλί (glass/mirror)
πηδάω,πηδάω,πήδηξα,θα πηδήξω,to jump,"to leap, to hop",Ancient Greek πηδάω (to leap/spring)
γνωριμία,η γνωριμία,,,acquaintance,"meeting, introduction",γιγνώσκω (to know/recognize)
μειωμένα,μειωμένος,,,reduced,"decreased, diminished",Ancient Greek μείων (less/smaller)
ακόμη,ακόμη,,,still,"yet, even",ακμή (peak/point) → εις ακμήν (at the peak of time)
αργίες,η αργία,,,public holiday,"day off, closure",α- (without) + έργον (work)
απόσπασμα,το απόσπασμα,,,excerpt,"passage, extract",από (from) + σπάω (to tear/pull)
μάλωνε,μαλώνω,μάλωσα,θα μαλώσω,to quarrel,"to argue, to fight",from μαλλί (hair) → quarreling by hair-pulling
Δεν πρόφταινε,προφταίνω,πρόφτασα,θα προφτάσω,to have time to,"to manage to, to be in time",προ (before) + φθάνω (to arrive/reach)
φορτωμένοι,φορτωμένος,,,loaded,"laden, burdened",φόρτος (load) → φέρω (to carry)
κουβέντα,η κουβέντα,,,conversation,"chat, talk",from Latin: conventa (agreed meeting/things)
Όσοι,όσος,,,all those who,"whoever, as many as",Ancient Greek ὅσος (as many/much as)
εντυπωσιασμένοι,εντυπωσιασμένος,,,impressed,awestruck,εν (in) + τύπος (stamp/impression)
πλούτη,ο πλούτος,,,riches,wealth,Ancient Greek πλοῦτος (wealth) → πολύς (much/many)
ολόκληρες,ολόκληρος,,,whole,"entire, complete",ὅλος (whole) + κλῆρος (lot/portion)
τέτοια,τέτοιος,,,such,"of this kind, like that",Ancient Greek τοιοῦτος (of such kind)
φταις,φταίω,έφταιξα,θα φταίξω,to be at fault,"to be to blame, to be responsible",Ancient Greek πταίω (to stumble/err)
πεζοπορία,η πεζοπορία,,,hiking,"trekking, trek",πεζός (on foot) + πορεία (journey/march)
σύλλογο,ο σύλλογος,,,club,"association, society",συν (together) + λέγω (to gather/speak)
αναπνεύσουμε,αναπνέω,ανέπνευσα,θα αναπνεύσω,to breathe,,ανά (again/up) + πνέω (to blow/breathe)
βροχές,η βροχή,,,rain,rainfall,Ancient Greek βροχή (rain) → βρέχω (to wet/rain)
δελτίο καιρού,το δελτίο καιρού,,,weather forecast,,δέλτος (writing tablet) + καιρός (time/weather)
υποφέρετε,υποφέρω,υπόφερα,θα υποφέρω,to suffer,"to endure, to bear",υπό (under) + φέρω (to carry/bear)
οθόνη,η οθόνη,,,screen,"display, monitor",Ancient Greek ὀθόνη (fine linen cloth) → repurposed for projection/display screen
πιθανό,πιθανός,,,probable,"likely, possible",Ancient Greek πιθανός (persuasive) → πείθω (to persuade)
γείτονα,ο γείτονας,,,neighbor,,Ancient Greek γείτων (neighbor) → γη (earth/land) → one who shares the land
γενικό,γενικός,,,general,"overall, universal",Ancient Greek γενικός → γένος (kind/family/race)
λόγος,ο λόγος,,,reason,"word, speech",Ancient Greek λόγος (word/reason/speech) → λέγω (to speak/say)
βρέχει,βρέχω,έβρεξα,θα βρέξω,to rain,"to wet, to drench",Ancient Greek βρέχω (to wet/rain)
δράσης,η δράση,,,action,activity,Ancient Greek δράσις (action) → δράω (to do/act)
απόσταση,η απόσταση,,,distance,,από (from) + ἵστημι (to stand) → standing apart
βρύσες,η βρύση,,,tap,"faucet, spring",Ancient Greek βρύω (to gush/flow)
μπαράκι,το μπαράκι,,,small bar,,from English/French: bar + -άκι (diminutive suffix)
μάλλον,μάλλον,,,probably,"rather, more likely",Ancient Greek μᾶλλον (more/rather)
Υπουργείο,το Υπουργείο,,,ministry,government department,υπό (under) + έργο (work) → υπουργός (minister)
οικονομικών,οικονομικός,,,financial,"economic; τα οικονομικά = finances/economics",οίκος (house) + νόμος (law) → Ancient Greek οἰκονομία (household management)
άλογο,το άλογο,,,horse,,α- (without) + λόγος (reason/word) → Ancient Greek ἄλογος (irrational animal)
Υπηρεσία,η υπηρεσία,,,service,"department, agency",υπό (under) + ἐρέτης (oarsman) → crew serving under the captain → service
τμήμα,το τμήμα,,,department,"section, division",Ancient Greek τμῆμα (section/cut) → τέμνω (to cut)
ήπιος,ήπιος,,,mild,"gentle, temperate",Ancient Greek ἤπιος (gentle/kind)
αίθριος,αίθριος,,,clear (sky),"sunny, bright",Ancient Greek αἰθήρ (upper/clear air)
άστατος,άστατος,,,unstable,"changeable, fickle",α- (not) + ἵστημι (to stand) → not standing firm
αραιή,αραιός,,,sparse,"thin, scattered",Ancient Greek ἀραιός (thin/loose)
συννεφιά,η συννεφιά,,,cloudiness,overcast,σύν (together) + νέφος (cloud)
νεφώσεις,η νέφωση,,,cloud cover,clouding,Ancient Greek νέφος (cloud)
καταιγίδες,η καταιγίδα,,,storm,thunderstorm,κατά (down) + ἀΐσσω/αἰγίς (rushing/squall) → καταιγίς (squall)
δυνατούς,δυνατός,,,strong,"powerful, loud",Ancient Greek δύναμαι (to be able)
ανέμους,ο άνεμος,,,wind,breeze,Ancient Greek ἄνεμος (wind)
ανατολικό,ανατολικός,,,eastern,easterly,ἀνατολή (rising/east) → ἀνατέλλω (to rise)
δυτικό,δυτικός,,,western,westerly,δύσις (setting/west) → δύω (to set/sink)
βόρειο,βόρειος,,,northern,northerly,Βορέας (North Wind/Boreas)
νότιο,νότιος,,,southern,southerly,Νότος (South Wind)
βοριά,ο βοριάς,,,north wind,cold north wind,Βορέας (Boreas, god of the North Wind)
νοτιά,ο νοτιάς,,,south wind,southerly wind,Νότος (god of the South Wind)
μποφόρ,το μποφόρ,,,Beaufort,wind force unit,from English: Beaufort (after Sir Francis Beaufort)
ισχυρούς,ισχυρός,,,strong,"powerful, intense",Ancient Greek ἰσχύς (strength/power)
έντασης,η ένταση,,,intensity,"tension, strain",εν (in) + τείνω (to stretch)
άνοδο,η άνοδος,,,rise,"ascent, increase",ανά (up) + ὁδός (road/way)
πτώση,η πτώση,,,fall,"drop, decline",Ancient Greek πτῶσις (falling) → πίπτω (to fall)
μετεωρολόγος,ο/η μετεωρολόγος,,,meteorologist,weather forecaster,μετέωρος (in mid-air/lofty) + λόγος (study/word)
κάψωνα,ο καύσωνας,,,heat wave,scorching heat,καίω (to burn) + -ων suffix → blazing heat
ψύχρα,η ψύχρα,,,cold,"chill, coolness",Ancient Greek ψυχρός (cold/cool)
κακοκαιρία,η κακοκαιρία,,,bad weather,poor weather,κακός (bad) + καιρός (weather/time)
χιονόνερο,το χιονόνερο,,,sleet,snow-rain,χιόνι (snow) + νερό (water)
χαλάζι,το χαλάζι,,,hail,,Ancient Greek χάλαζα (hail)
στρώσει,στρώνω,έστρωσα,θα στρώσω,"to settle (of snow)","to lay, to spread, to cover",Ancient Greek στρώννυμι (to spread/strew)
αστραπές,η αστραπή,,,lightning,flash,Ancient Greek ἀστραπή (lightning) → ἀστήρ (star)
βροντές,η βροντή,,,thunder,thunderclap,Ancient Greek βροντή (thunder) → βρέμω (to roar)
μπουμπουνητά,το μπουμπουνητό,,,rumbling of thunder,thunderclap,onomatopoeia: μπουμ-μπουμ (boom-boom sound)
Βροντάει,βροντάω,βρόντηξα,θα βροντήξω,to thunder,,from βροντή (thunder)
Μπουμπουνίζει,μπουμπουνίζω,μπουμπούνισα,θα μπουμπουνίσω,to rumble (thunder),to thunder,onomatopoeia from μπουμπουνητό (rumbling)
αποθήκη,η αποθήκη,,,storage room,"warehouse, depot",από (from/away) + θήκη (container) → θέτω (to place)
έκαψε,καίω,έκαψα,θα κάψω,to burn,to scorch,Ancient Greek καίω (to burn/kindle)
Σε λίγο θα το στρώσει,Σε λίγο θα το στρώσει,,,the snow will settle soon,it'll stick and cover the ground,σε λίγο (in a little while) + στρώνω (to spread/cover) → fixed idiom for snow settling
αντιμετωπίσατε,αντιμετωπίζω,αντιμετώπισα,θα αντιμετωπίσω,to face,"to confront, to deal with",αντί (against) + μέτωπο (forehead/front)
ελαττωματικό,ελαττωματικός,,,defective,"faulty, flawed",Ancient Greek ἐλαττόω (to diminish) → ἐλάττωμα (defect)
λάβει,λαμβάνω,έλαβα,θα λάβω,to receive,"to take, to obtain",Ancient Greek λαμβάνω (to take/receive)
ικανοποιητική,ικανοποιητικός,,,satisfactory,"adequate, satisfying",ικανός (sufficient) + ποιώ (to make)
δυσαρέσκειά,η δυσαρέσκεια,,,displeasure,"dissatisfaction, discontent",δυσ- (bad/ill) + ἀρέσκω (to please)
κατάλληλο,κατάλληλος,,,appropriate,"suitable, proper",κατά (according to) + ἄλληλος (one another) → fitting
ύφος,το ύφος,,,style,"tone, manner",Ancient Greek ὕφος (web/texture) → ὑφαίνω (to weave)
επίσημο,επίσημος,,,official,"formal, distinguished",ἐπί (upon) + σῆμα (sign/mark) → marked/notable
απολαμβάνω,απολαμβάνω,απόλαυσα,θα απολαύσω,to enjoy,to savor,ἀπό (from) + λαμβάνω (to take/receive)
συμπαθήσουν,συμπαθώ,συμπάθησα,θα συμπαθήσω,to like,"to feel sympathy for, to take a liking to",συν (with) + πάθος (feeling) → to share feelings
εντύπωση,η εντύπωση,,,impression,"imprint, effect",εν (in) + τύπος (stamp/mark)
τραβήξετε,τραβάω,τράβηξα,θα τραβήξω,to pull,"to draw, to attract",possibly from Slavic/medieval Greek; cf. τραβώ (to drag)
συνομιλητές,ο συνομιλητής,,,interlocutor,"conversation partner, speaker",συν (together) + ομιλώ (to speak)
σημασία,η σημασία,,,meaning,"importance, significance",σήμα (sign/mark) → σημαίνω (to signify)
αδιαφορία,η αδιαφορία,,,indifference,"apathy, disinterest",α- (without) + διαφορά (difference) → no difference made
προορισμό,ο προορισμός,,,destination,"purpose, intended end",προ (before) + ορίζω (to define/set boundary)
ορεινή,ορεινός,,,mountainous,"highland, of the mountains",Ancient Greek ὄρος (mountain)
μόλις,μόλις,,,just,"barely, as soon as",Ancient Greek μόλις (with difficulty/scarcely)
μνημεία,το μνημείο,,,monument,"memorial, landmark",Ancient Greek μνήμη (memory) → μιμνήσκω (to remind)
πλαγιές,η πλαγιά,,,slope,"hillside, mountainside",Ancient Greek πλάγιος (sideways/oblique)
Αποτελεί,αποτελώ,αποτέλεσα,θα αποτελέσω,to constitute,"to make up, to form",από (from) + τέλος (end/completion)
στολίδι,το στολίδι,,,ornament,"jewel, adornment",Ancient Greek στολή (garment/attire) → στέλλω (to arrange/equip)
δοκιμασμένα,δοκιμασμένος,,,tried and tested,"proven, experienced",Ancient Greek δοκιμάζω (to test/examine) → δοκέω (to think/seem)
περιοχή,η περιοχή,,,area,"region, district",περί (around) + ἔχω (to have/hold) → that which is held around
ιδανικός,ιδανικός,,,ideal,"perfect, dream",Ancient Greek ἰδέα (form/idea) → ἰδεῖν (to see)
πολυτέλεια,η πολυτέλεια,,,luxury,"opulence, extravagance",πολύς (much) + τέλος (cost/expense) → great expense
παρελθόν,το παρελθόν,,,past,"the past, former times",παρά (by/past) + ἔρχομαι (to come/go) → that which has passed by
Αναφέρετε,αναφέρω,ανέφερα,θα αναφέρω,to mention,"to refer to, to report",ανά (up) + φέρω (to carry) → to bring up
προσφέρει,προσφέρω,πρόσφερα,θα προσφέρω,to offer,"to provide, to present",προς (toward) + φέρω (to carry) → to bring to
πλευρά,η πλευρά,,,side,"aspect, flank",Ancient Greek πλευρά (rib/side)
προστασία,η προστασία,,,protection,"defense, safeguard",προ (before) + ἵστημι (to stand) → to stand before/in front of
μέτρα,το μέτρο,,,measure,"meter, step",Ancient Greek μέτρον (measure)
Αποφεύγετε,αποφεύγω,απέφυγα,θα αποφύγω,to avoid,"to evade, to stay away from",από (away) + φεύγω (to flee)
ξανθοί,ξανθός,,,blond,"fair-haired, blonde",Ancient Greek ξανθός (yellow/blond)
μελαχρινοί,μελαχρινός,,,brunette,"dark-skinned, swarthy",μέλας (black/dark) + χρώμα (color)
αδειάζει,αδειάζω,άδειασα,θα αδειάσω,to empty,"to become empty, to vacate",άδειος (empty) → α- (without) + δέω (to bind/fill)
συντροφιά,η συντροφιά,,,company,"companionship, fellowship",σύν (together) + τροφή (food/nourishment) → those who share food
όχθες,η όχθη,,,bank,"riverbank, shore",Ancient Greek ὄχθη (bank/elevated ground)
λίμνη,η λίμνη,,,lake,"pond, lagoon",Ancient Greek λίμνη (pool/marshy lake)
γαβγίζει,γαβγίζω,γάβγισα,θα γαβγίσω,to bark,,onomatopoeia: γαβ-γαβ (woof-woof sound of a dog)
ποταμού,ο ποταμός,,,river,stream,Ancient Greek ποταμός (river) → πέτομαι (to fly/rush)
Ύστερα,ύστερα,,,afterwards,"later, then",Ancient Greek ὕστερος (later/following)
μαντήλι,το μαντήλι,,,handkerchief,"kerchief, scarf",from Latin: mantellum (cloak/covering)
Άραγε,άραγε,,,I wonder,"perhaps, presumably",Ancient Greek ἆρά γε (interrogative particle)
Ασχολείται,ασχολούμαι,ασχολήθηκα,θα ασχοληθώ,to be occupied with,"to deal with, to engage in",α- (intensive) + σχολή (leisure/study) → to devote one's time
υποστήριξη,η υποστήριξη,,,support,"backing, assistance",υπό (under) + στηρίζω (to prop up)
επιστολές,η επιστολή,,,letter,"missive, epistle",ἐπί (upon) + στέλλω (to send/dispatch)
στήλη,η στήλη,,,column,"pillar, article",Ancient Greek στήλη (pillar/standing block)
δώδεκα,δώδεκα,,,twelve,,δύο (two) + δέκα (ten)
γνώμη,η γνώμη,,,opinion,"view, judgment",Ancient Greek γνώμη (judgment) → γιγνώσκω (to know)
συνεχώς,συνεχώς,,,continuously,"constantly, non-stop",σύν (together) + ἔχω (to hold) → holding together
εντυπωσιακή,εντυπωσιακός,,,impressive,"striking, remarkable",εν (in) + τύπος (stamp/impression)
συνήθειες,η συνήθεια,,,habit,"custom, routine",σύν (together) + ἦθος (character/usage)
καταναλωτών,ο καταναλωτής,,,consumer,buyer,κατά (down/thoroughly) + ἀναλίσκω (to use up/consume)
διαδικασία,η διαδικασία,,,process,"procedure, method",διά (through) + δίκη (way/justice) → going through stages
αλλαγές,η αλλαγή,,,change,"alteration, exchange",Ancient Greek ἀλλάσσω (to change) → ἄλλος (other)
συνηθισμένα,συνηθισμένος,,,usual,"customary, ordinary",from συνήθεια (habit) → σύν + ἦθος
συγκρίνουν,συγκρίνω,σύγκρινα,θα συγκρίνω,to compare,"to contrast, to juxtapose",σύν (together) + κρίνω (to judge/decide)
εμπορεύματα,το εμπόρευμα,,,merchandise,"goods, wares",ἐν (in) + πορεύομαι (to travel) → ἔμπορος (merchant/traveler)
ξενιτιάς,η ξενιτιά,,,foreign land,"emigration, life abroad",ξένος (stranger/foreign) + -ιά (place suffix)
στοιχεία,το στοιχείο,,,element,"data, detail",Ancient Greek στοιχεῖον (first principle/letter of alphabet)
αντικείμενο,το αντικείμενο,,,object,"item, subject matter",αντί (opposite) + κείμαι (to lie/be placed)
στεναχωρημένος,στεναχωρημένος,,,sad,"upset, distressed",στενός (narrow) + χώρος (space) → feeling cramped/distressed
λυπημένος,λυπημένος,,,sad,sorrowful,Ancient Greek λύπη (grief/sorrow)
δύτης,ο δύτης,,,diver,,Ancient Greek δύω (to sink/plunge)
τροχονόμος,ο τροχονόμος,,,traffic officer,traffic policeman,τροχός (wheel) + νόμος (law)
Καθησυχάζει,καθησυχάζω,καθησύχασα,θα καθησυχάσω,to reassure,"to calm down, to soothe",κατά (down) + ησυχάζω (to be quiet/calm)
πρόληψη,η πρόληψη,,,prevention,prejudice/preconception,προ- (before) + λαμβάνω (to take)
άνοια,η άνοια,,,dementia,senility,α- (without) + νους (mind)
κατασκευή,η κατασκευή,,,construction,"manufacture, structure",κατά (down/thoroughly) + σκευή (equipment/gear)
πινακοθήκη,η πινακοθήκη,,,art gallery,picture gallery,πίνακας (painting/board) + θήκη (case/storage)
λογομάχω,λογομαχώ,λογομάχησα,θα λογομαχήσω,to argue,to quarrel verbally,λόγος (word) + μάχομαι (to fight)
επιβάτης,ο επιβάτης,,,passenger,,επί (on) + βαίνω (to step/go)
υπερβάλλεις,υπερβάλλω,υπερέβαλα,θα υπερβάλω,to exaggerate,to exceed,υπέρ (over) + βάλλω (to throw)
εκπαίδευση,η εκπαίδευση,,,education,training,εκ (out) + παιδεύω (to teach/train)
εκπαιδεύει,εκπαιδεύω,εκπαίδευσα,θα εκπαιδεύσω,to educate,to train,εκ (out) + παιδεύω (to teach)
καιγόμαστε,καίγομαι,κάηκα,θα καώ,to burn (oneself),to be on fire,Ancient Greek καίω (to burn)
έγκαυμα,το έγκαυμα,,,burn,sunburn,εν (in) + καίω (to burn)
υποχρεώσεις,η υποχρέωση,,,obligation,duty,υπό (under) + χρέος (debt)
πρόστιμο,το πρόστιμο,,,fine,penalty,Ancient Greek πρόστιμον (penalty assessed) from προστιμώ (to assess in addition)
γίνω,γίνομαι,έγινα,θα γίνω,to become,"to happen, to be done",Ancient Greek γίγνομαι (to come into being)
μέλλον,το μέλλον,,,future,"the future, what is to come",Ancient Greek μέλλον (that which is about to be) → μέλλω (to be about to)
σκέφτηκες,σκέφτομαι,σκέφτηκα,θα σκεφτώ,to think,"to consider, to reflect",Ancient Greek σκέπτομαι (to look at/examine)
στηρίζω,στηρίζω,στήριξα,θα στηρίξω,to support,"to prop up, to back",Ancient Greek στηρίζω (to make firm/fast)
ευκαιρία,η ευκαιρία,,,opportunity,"chance, occasion",ευ (good) + καιρός (time/moment)
δημόσιες σχέσεις,οι δημόσιες σχέσεις,,,public relations,PR,δημόσιος (public) + σχέση (relation) → δήμος (people)
έντιμος,έντιμος,,,honest,"honorable, upright",εν (in) + τιμή (honor)
ελεγα τα πραγματα με το ονομα τους,λέω τα πράγματα με το όνομά τους,,,to call things by their name,"to call a spade a spade, to speak frankly",idiom: λέω (to say) + όνομα (name) → to name things plainly
Ανοιχτή Επιστολή,η ανοιχτή επιστολή,,,open letter,,ανοιχτός (open) + επιστολή (letter) → ἐπί (upon) + στέλλω (to send)
λογοτεχνία,η λογοτεχνία,,,literature,,λόγος (word) + τέχνη (art/craft)
σχέση,η σχέση,,,relationship,"relation, connection",Ancient Greek σχέσις (state/condition) → ἔχω (to have/hold)
προετοιμασια,η προετοιμασία,,,preparation,getting ready,προ (before) + ετοιμασία (preparation) → έτοιμος (ready)
προπονηση,η προπόνηση,,,training,"workout, practice",προ (before) + πόνος (toil/effort)
τρεξιμο,το τρέξιμο,,,running,"the run, a run",Ancient Greek τρέχω (to run)
δημος,ο δήμος,,,municipality,"people, township",Ancient Greek δῆμος (people/township)
υπήρξε,υπάρχω,υπήρξα,θα υπάρξω,to exist,"to be, to be present",υπό (under) + ἄρχω (to begin/rule)
το τέρμα,το τέρμα,,,finish line,"goal, end",Ancient Greek τέρμα (boundary/end)
τερματίσω,τερματίζω,τερμάτισα,θα τερματίσω,to finish,"to reach the finish line, to terminate",Ancient Greek τέρμα (end/boundary)
τα κατάφερα,καταφέρνω,κατάφερα,θα καταφέρω,to manage,"to succeed, to pull off",κατά (down/thoroughly) + φέρνω (to bring/carry)
προτιμώ,προτιμώ,προτίμησα,θα προτιμήσω,to prefer,to favor,προ (before) + τιμώ (to honor/value)
προτεινω,προτείνω,πρότεινα,θα προτείνω,to propose,"to suggest, to recommend",προ (before/forward) + τείνω (to stretch/extend)
Χρησιμοποιώ,χρησιμοποιώ,χρησιμοποίησα,θα χρησιμοποιήσω,to use,"to make use of, to employ",χρήσιμος (useful) + ποιώ (to make)
Δυσάρεστη,δυσάρεστος,,,unpleasant,"disagreeable, nasty",δυσ- (bad/ill) + ἀρέσκω (to please)
Εμπειρία,η εμπειρία,,,experience,"expertise, know-how",ἐν (in) + πείρα (trial/test)
Διάρκεια,η διάρκεια,,,duration,length of time,διά (through) + ἀρκέω (to suffice/last)
Αποζημίωση,η αποζημίωση,,,compensation,"indemnity, refund",ἀπό (off/away) + ζημία (loss/damage)
Αστείος,αστείος,,,funny,"witty, amusing",Ancient Greek ἀστεῖος (urbane/refined) → ἄστυ (city/town)
Περίεργος,περίεργος,,,curious,"strange, nosy",περί (around) + ἔργον (work) → meddling around
Έχω πλάκα,έχω πλάκα,είχα πλάκα,θα έχω πλάκα,to be fun,"to be a laugh, to be entertaining",idiom: έχω (to have) + πλάκα (slab) → from slang πλάκα (joke/fun)
Καταπληκτικός,καταπληκτικός,,,amazing,"astonishing, terrific",κατά (down/utterly) + πλήσσω (to strike) → stunning
Δικηγόρος,ο δικηγόρος,,,lawyer,"attorney, advocate",δίκη (justice/lawsuit) + ἀγορεύω (to speak in public)
Δικαστήριο,το δικαστήριο,,,court,courthouse,δικαστής (judge) → δίκη (justice/law)
Διαγωνισμός,ο διαγωνισμός,,,competition,"contest, public exam (e.g. ΑΣΕΠ)",διά (through) + ἀγών (struggle/contest)
διαγώνισμα,το διαγώνισμα,,,test,"school written test, classroom exam",διά (through) + ἀγωνίζομαι (to compete/struggle)
οπωσδήποτε,οπωσδήποτε,,,definitely,"by all means, no matter what",ὅπως (however/in whatever way) + δή (emphatic particle) + ποτε (ever) → "in whatever way ever"
Ασυζητητί,ασυζητητί,,,undoubtedly,indisputably,α- (without) + συζήτηση (discussion) → without debate
φτάω,φτάνω,έφτασα,θα φτάσω,to arrive,"to reach, to be enough",Ancient Greek φθάνω (to arrive first/anticipate)
βροχοπτωση,η βροχόπτωση,,,precipitation,rainfall,βροχή (rain) + πτώση (fall)
